1,GUESS JEANS - ДЖИНСОВОЕ ПЛАТЬЕ,products_images/full_img_2425026.jpg,"Платье из коллекции Guess Jeans. Расклешенная модель выполнена из денима.
- Расклешенный фасон.
- Длинный рукав.
- Модель с воротником.
- Застегивается на пуговицы.
- Завязка на талии.
- Деним с декоративными потертостями.
- Длина рукава: 56 см.
- Длина: 88 см.
- Ширина подмышками: 42 см.
- Параметры указаны для размера: S.
•	Узор: однотонные
•	Материал: ткань
•	Длина: мини
•	Рукав: длинный
•	Материал: джинс
•	Декольте: застёгивающееся
•	Материал: с эластаном
•	Повод: casual
•	Фасон: клёш
Состав:
98% Хлопок, 2% Эластан",Платье из коллекции Guess Jeans. Расклешенная модель выполнена из денима.,2939,25,1
2,ANSWEAR LAB ЛИМИТИРОВАННАЯ,products_images/full_img_2567196.jpg,"Платье из коллекции Answear Lab. Прямая модель выполнена из гладкой ткани.
- Прямой фасон.
- Декольте типа halter.
- Сзади имеется молния.
- Поясной ремень.
- Застегивается на молнию.
- Длина: 115 см.
- Ширина подмышками: 38 см.
- Параметры указаны для размера: S.
•	Узор: однотонные
•	Длина: миди
•	Рукав: без рукавов
•	Декольте: круглое
•	Материал: вискоза
•	Повод: casual
•	Фасон: прямой
Состав:
100% Вискоза",Платье из коллекции Answear Lab. Прямая модель выполнена из гладкой ткани.,2199,20,1
3,Платье из коллекции Only,products_images/full_img_2478223.jpg,"Платье из коллекции Only. Прямая модель выполнена из узорной ткани.
- Прямой фасон.
- Длинный рукав.
- Круглый вырез.
- Сзади имеется молния.
- Завязка на талии.
- Узорчатая ткань.
- Длина рукава: 56 см.
- Длина: 119 см.
- Ширина подмышками: 45 см.
- Параметры указаны для размера: S.
•	Узор: узорные
•	Материал: ткань
•	Длина: миди
•	Рукав: длинный
•	Декольте: круглое
•	Материал: с эластаном
•	Повод: casual
•	Фасон: прямой
Состав:
Подкладка: 100% Полиэстер
Основной материал: 1% Эластан, 99% Полиэстер",Платье из коллекции Only. Прямая модель выполнена из узорной ткани.,1099,30,1
4,NIKE SPORTSWEAR,products_images/full_img_2494528.jpg,"Легкое платье из коллекции Nike Sportswear. Прямая модель выполнена из тонкого эластичного трикотажа.
- Прямой фасон.
- Короткий рукав.
- Круглый вырез.
- Тонкий, эластичный трикотаж.
- Модель с принтом.
- Длина: 90 см.
- Ширина подмышками: 47 см.
- Параметры указаны для размера: S.
•	Узор: принт
•	Длина: мини
•	Декольте: круглое
•	Рукав: короткий
•	Материал: хлопок
•	Повод: casual
•	Фасон: прямой
Состав:
100% Хлопок",Легкое платье из коллекции Nike Sportswear. Прямая модель выполнена из тонкого,899,35,1
5,VERO MODA,products_images/full_img_2556354.jpg,"Свитер из коллекции Vero Moda. Модель с круглым вырезом выполнена из узорного трикотажа.
- Прямой фасон.
- Длинный рукав.
- Круглый вырез.
- Ширина подмышками: 51 см.
- Длина рукава: 66 см.
- Длина: 62 см.
- Параметры указаны для размера: S.
•	Узор: узорные
•	Декольте: круглое
•	Материал: шерсть в составе
•	Трикотаж: тонкий
Состав:
22% Акрил, 4% Эластан, 9% Нейлон, 50% Вторичный полиэстер, 12% Полиэстер, 3% Шерсть",Свитер из коллекции Vero Moda. Модель с круглым вырезом выполнена из узорного,899,30,3
6,MEDICINE RED,products_images/full_img_2541253.jpg,"Свитер из коллекции Medicine. Модель с полугольфом, выполнена из гладкого трикотажа.
- Прямой фасон.
- Длинный рукав.
- Декоративные пуговицы.
- Длина рукава: 63 см.
- Длина: 60 см.
- Ширина подмышками: 54 см.
- Параметры указаны для размера: S.
Состав:
20% Полиамид, 29% Полиэстер, 51% Вискоза","Свитер из коллекции Medicine. Модель с полугольфом, выполнена из гладкого трикотажа.",1199,25,3
7,MEDICINE WHITE,products_images/full_img_2528830.jpg,"Свитер из коллекции Medicine. Модель с полугольфом, выполнена из гладкого трикотажа.
- Прямой фасон.
- Длинный рукав.
- Декоративные пуговицы.
- Длина рукава: 63 см.
- Длина: 60 см.
- Ширина подмышками: 54 см.
- Параметры указаны для размера: S.
Состав:
20% Полиамид, 29% Полиэстер, 51% Вискоза","Свитер из коллекции Medicine. Модель с полугольфом, выполнена из гладкого трикотажа.",1199,25,3
8,MEDICINE GREEN,products_images/full_img_2548677.jpg,"Свитер из коллекции Medicine. Модель с полугольфом, выполнена из гладкого трикотажа.
- Прямой фасон.
- Длинный рукав.
- Декоративные пуговицы.
- Длина рукава: 63 см.
- Длина: 60 см.
- Ширина подмышками: 54 см.
- Параметры указаны для размера: S.
Состав:
20% Полиамид, 29% Полиэстер, 51% Вискоза","Свитер из коллекции Medicine. Модель с полугольфом, выполнена из гладкого трикотажа.",1199,20,3
9,LEVI'S,products_images/full_img_2191484.jpg,"Джинсы из коллекции Levi's типа skinny с завышенной талией. Модель выполнена из обесцвеченного денима.
Согласно политике охраны товарных знаков примерно 10% ассортимента бренда Levi's имеют ""пустой ярлык"" (красного цвета без логотипа бренда, исключительно с международным знаком торговой марки). ""Пустой ярлык"" — это зарегистрированный товарный знак бренда Levi's и модель, имеющая данный ярлык, является полноценным оригинальным продуктом. В случаях неуверенности, просим связаться с нашим call-centre.

- Застегивается на пуговицу и молнию.
- Облегающие штанины.
- Крой обтягивающий.
- Эластичный деним.
- Деним с декоративными пятнами.
- Прорезные карманы.
- Ширина по поясу: 32 см.
- Полуобхват бедер: 43 см.
- Высота талии: 25 см.
- Ширина штанины снизу: 13 см.
- Ширина штанины сверху: 23 см.
- Длина штанины: 103 см.
- Параметры указаны для размера: 27/32.
•	Крой: скинни
•	Цвет: темносиний
Состав:
60% Хлопок, 4% Эластан, 24% Полиэстер, 12% Вискоза",Джинсы из коллекции Levi's типа skinny с завышенной талией. Модель выполнена из обесцвеченного деним,2699,15,4
10,WRANGLER,products_images/full_img_2645642.jpg,"Джинсы из коллекции Wrangler. Модель выполнена из из стираного денима.
- Прямой фасон.
- Прорезные карманы.
- Застегивается на пуговицу и молнию.
- Талия regular.
- Ширина по поясу: 35 см.
- Полуобхват бедер: 42 см.
- Высота талии: 30 см.
- Ширина штанины снизу: 18,5 см.
- Ширина штанины сверху: 26 см.
- Длина штанины: 97,5 см.
- Параметры указаны для размера: 27/32.
Состав:
2% Эластан, 59% Лиоцелл, 39% Полиэстер",Джинсы из коллекции Wrangler. Модель выполнена из из стираного денима.,2199,20,4
